# 10-Minute Meditation Session
# Date: 2026-01-21T18:51:32.146497
# Duration: 600 seconds
# Samples: 29629
# Type: Guided meditation
#
timestamp_ms,thermistor,piezo,ir,red
12173,1783,179,208965,206135
12193,1774,169,208861,206046
12213,1780,145,208814,206059
12233,1829,147,208830,206074
12253,1776,121,208945,206117
12273,1783,120,209061,206171
12293,1778,133,209076,206171
12313,1792,115,209086,206175
12333,1793,105,209124,206227
12353,1782,90,209244,206298
12373,1780,107,209341,206321
12393,1799,105,209345,206315
12413,1807,87,209315,206273
12433,1788,87,209169,206179
12457,1782,221,209130,206179
12477,1801,209,209126,206190
12497,1782,191,209149,206180
12517,1799,180,209170,206172
12537,1784,184,209148,206156
12557,1784,152,209183,206198
12577,1784,183,209254,206239
12597,1788,140,209311,206254
12617,1792,145,209351,206268
12637,1795,144,209393,206293
12657,1803,118,209421,206272
12677,1797,143,209424,206288
12697,1807,110,209435,206293
12717,1788,119,209498,206323
12737,1808,101,209613,206467
12757,1788,105,209822,206578
12777,1788,99,209965,206689
12797,1808,95,210142,206880
12817,1801,84,210392,207109
12837,1802,76,210819,207386
12861,1807,202,210846,207412
12881,1807,203,210794,207362
12901,1808,183,210694,207274
12921,1799,192,210526,207185
12941,1807,161,210426,207100
12961,1807,163,210343,207041
12981,1802,167,210219,206960
13001,1796,151,210137,206911
13021,1800,145,210052,206854
13041,1807,124,209958,206817
13061,1803,139,209870,206772
13081,1800,118,209809,206720
13101,1808,104,209744,206627
13121,1817,125,209682,206593
13141,1808,105,209618,206544
13161,1807,97,209610,206524
13181,1807,107,209532,206445
13201,1804,87,209363,206289
13221,1817,88,209108,206154
13241,1800,84,208787,206017
13265,1800,224,208690,205960
13285,1801,183,208579,205859
13305,1821,195,208508,205831
13325,1819,177,208407,205752
13345,1804,172,208304,205684
13365,1804,167,208196,205608
13385,1807,145,208105,205512
13405,1813,141,208038,205486
13425,1809,171,207970,205455
13445,1809,144,208001,205441
13465,1815,124,208021,205461
13485,1808,145,207990,205431
13505,1815,102,207971,205396
13525,1804,115,207915,205380
13545,1804,99,207898,205376
13565,1808,101,207935,205373
13585,1824,95,207893,205359
13605,1815,80,207861,205320
13625,1807,89,207790,205275
13650,1815,196,207756,205236
13670,1824,188,207724,205223
13690,4095,185,207628,205166
