# 10-Minute Meditation Session (Glasses Wearable)
# Date: 2026-01-22T23:42:36.342036
# Duration: 600 seconds
# Samples: 29704
# Setup: Thermistor on glasses near nostrils
#
timestamp_ms,thermistor,piezo,ir,red
11845,1781,113,199924,190809
11869,1772,95,199912,190805
11889,1779,103,199908,190810
11909,1792,103,199946,190819
11929,1791,92,199938,190814
11949,1772,107,199955,190808
11969,1783,88,199983,190841
11989,1785,95,199975,190828
12009,1780,88,199976,190820
12029,1778,91,199992,190823
12049,1776,103,199979,190817
12069,1784,95,199986,190817
12089,1787,95,199964,190820
12109,1795,103,200016,190832
12129,1783,95,198625,190822
12149,1795,97,200037,190845
12169,1788,97,200075,190850
12189,1792,104,200060,190836
12209,1792,90,200063,190839
12229,1794,95,200092,190851
12249,1800,104,200108,190833
12273,1802,70,200104,190832
12293,1800,71,200083,190828
12313,1819,80,200124,190825
12333,1800,68,200091,190824
12353,1809,75,200107,190815
12373,1802,67,200157,190850
12393,1800,68,200152,190838
12413,1819,73,200164,190864
12433,1801,71,200180,190865
12453,1811,77,200196,190857
12473,1802,77,200190,190865
12493,1807,71,200141,190832
12513,1806,71,200078,190831
12533,1813,64,200027,190785
12553,1824,80,199948,190750
12573,1819,64,199936,190766
12593,1807,72,199927,190753
12613,1817,73,199933,190828
12633,1823,60,199929,190752
12653,1810,68,199883,190687
12677,1823,107,199823,190695
12697,1819,109,199815,190665
12717,1808,103,199850,190698
12737,1804,91,199841,190709
12757,1804,89,199884,190708
12777,1808,92,199917,190717
12797,1815,99,199900,190715
12817,1816,104,199896,190698
12837,1816,104,199873,190690
12857,1819,104,199882,190681
12877,1819,95,199898,190696
12897,1817,103,199895,190678
12917,1811,104,199901,190682
12937,1819,95,199914,190725
12957,1821,96,199970,190696
12977,1815,95,199959,190722
12997,1812,107,199954,190726
13017,1816,88,199999,190665
13037,1812,88,200008,190725
13057,1808,88,200035,190719
13081,1810,117,200012,190733
13101,1812,116,200031,190696
13121,1824,116,200017,190714
13141,1823,123,199995,190693
13161,1808,119,199980,190645
13181,1817,121,199982,190644
13201,1808,114,199972,190613
13221,1824,128,200043,190619
13241,1812,131,200000,190664
13261,1815,116,200034,190665
13281,1815,114,200019,190657
13301,1759,125,199966,190640
13321,1816,116,199918,190618
13341,1824,117,199882,190616
13361,1815,112,199856,190616
13381,1816,112,199836,190600
13401,1817,111,199814,190600
13421,1817,115,199837,190619
13441,1819,115,199863,190641
13461,1823,112,199826,190605
13485,1816,116,199796,190606
13505,1827,135,199804,190577
13525,1818,120,199822,190606
13545,1819,129,199806,190599
13565,1839,143,199841,190594
13585,1820,127,199835,190597
13605,1831,129,199823,190570
13625,1831,135,199833,190594
13645,1835,136,199809,190598
13665,1847,128,199809,190579
13685,1833,139,199822,190585
13705,1847,144,199826,190591
13725,1833,129,199831,190586
13745,1847,135,199828,190591
13765,1839,129,199847,190596
13785,1841,135,199428,190605
13805,1832,141,199864,190618
13825,1837,131,199889,190604
13845,1832,141,199903,190635
13865,1841,143,199943,190652
13888,1840,119,199964,190666
13908,1836,111,199966,190682
13928,1848,102,199987,190664
13948,1849,119,199991,190671
13968,1856,103,199990,190696
13988,1856,112,200034,190728
14008,1848,102,200098,190722
14028,1840,100,200104,190725
14048,1844,102,200117,190756
14068,1844,100,200097,190737
14088,1855,111,200091,190737
14108,1851,105,200037,190684
14128,1859,111,199948,190649
14148,1861,107,199869,190627
14168,1844,111,199832,190615
14188,1849,101,199790,190591
14208,1848,103,199757,190569
14228,1863,103,199701,190542
14248,1871,111,199706,190539
14268,1859,107,199725,190549
14288,1856,111,199634,190469
14312,1871,88,199613,190487
14332,1863,95,199557,190479
14352,1863,103,199654,190491
14372,1871,95,199625,190475
14392,1871,95,199613,190447
14412,1879,93,199574,190434
14432,1863,89,199567,190418
14452,1859,86,199587,190439
14472,1856,104,199590,190456
14492,1875,96,199609,190441
14512,1873,86,199665,190476
14532,1879,95,199672,190493
14552,1873,95,199675,190473
14572,1871,84,199692,190515
14592,1879,93,199734,190496
14612,1864,96,199734,190646
14632,1871,88,199760,190553
14652,1865,86,199803,190554
14672,1867,83,199827,190573
14692,1868,87,199850,190596
14716,1883,87,199845,190584
14736,1873,75,199887,190605
14756,1877,83,199949,190626
14776,1887,74,199949,190641
14796,1873,75,199978,190629
14816,1876,76,199978,190671
14836,1872,73,200009,190651
14856,1870,70,200017,190664
14876,1887,72,199929,190586
14896,1875,73,199910,190619
14916,1885,79,199899,190619
14936,1875,72,199832,190603
14956,1881,81,199823,190599
14976,1880,87,199814,190612
14996,1887,73,199824,190628
15016,1885,79,199852,190641
15036,1876,85,199860,190632
15056,1875,69,199839,190626
15076,1881,71,199905,190688
15101,1887,115,199906,190672
15121,1887,119,199928,190681
15141,1887,107,199927,190696
15161,1893,106,199997,190685
15181,1895,119,199977,190710
15201,1896,123,199953,190708
15221,1880,123,199975,190704
15241,1876,112,199963,190694
15261,1881,112,199952,190687
15281,1880,104,199960,190694
15301,1872,117,199971,190682
15321,1885,115,199991,190710
15341,1864,119,200022,190703
15361,1864,108,200025,190711
15381,1856,104,200041,190721
15401,1848,104,200045,190691
15421,1847,104,200042,190679
15441,1836,111,200844,190648
15461,1831,103,200041,190670
15485,1837,139,200020,190641
15505,1825,139,199988,190630
15525,1824,139,200023,190649
15545,1817,123,199987,190636
15565,1815,122,200027,190645
15585,1803,136,200050,190658
15605,1784,122,200020,190631
15625,1803,131,199997,190609
15645,1772,133,199947,190577
15665,1779,131,199858,190553
15685,1764,139,199816,190524
15705,1763,123,199736,190497
15725,1767,120,199728,190494
15745,1755,128,199708,190477
15765,1755,131,199677,190451
15785,1740,118,199662,190459
15805,1734,119,199636,190439
15825,1730,117,199619,190630
15845,1747,123,199619,190424
15865,1735,127,199638,190416
15888,1716,106,199661,190424
15908,1725,119,199663,190407
15928,1719,125,199641,190401
15948,1709,104,199649,190403
15968,1700,111,199642,190393
15988,1696,119,200938,190380
16008,1701,115,199648,190394
16028,1690,107,199632,190384
16048,1686,108,199657,190365
16068,1687,109,199661,190358
16088,1684,106,199653,190362
16108,1679,108,199633,190357
16128,1674,107,199595,190327
16148,1672,119,199534,190264
16168,1687,115,199482,190212
16188,1688,112,199437,190206
16208,1671,115,199444,190199
16228,1671,106,199428,190166
16248,1679,112,199431,190155
16268,1656,119,199420,190159
16288,1655,105,199403,190140
16311,1650,89,199412,190139
16331,1648,103,199432,190175
16351,1645,97,199415,190161
16371,1644,92,199417,190159
16391,1656,96,199459,190186
16411,1640,97,199470,190162
16431,1648,103,199462,190154
16451,1653,95,199392,190104
16471,1643,95,199294,190057
16491,1648,107,199207,190026
16511,1639,95,199126,189984
16531,1643,95,199059,189926
16551,1632,87,198935,189938
16571,1632,95,199008,189931
16591,1636,104,198984,189887
16611,1639,92,198946,189899
16631,1633,95,198947,189881
16651,1623,96,198952,189871
16671,1620,95,198955,189873
16691,1625,95,198969,189889
16711,1643,96,199047,189916
16736,1631,67,199051,189907
16756,1623,75,199075,189924
16776,1621,67,199050,189917
16796,1616,60,199051,189913
16816,1623,59,199168,189895
16836,1632,72,199049,189878
16856,1616,64,199054,189880
16876,1623,79,199063,189852
16896,1610,59,199065,189855
16916,1619,56,199071,189856
16936,1608,58,199076,189863
16956,1623,69,199114,189870
16976,1617,75,199135,189885
16996,1617,71,199134,189849
17016,1617,67,199124,189856
17036,1614,67,199114,189853
17056,1623,72,199133,189907
17076,1608,60,199138,189822
17096,1615,67,199123,189813
17119,1615,82,199134,189792
17139,1604,80,199150,189775
17159,1623,78,199126,189770
17179,1607,74,199200,189814
17199,1604,81,199240,189849
17219,1606,79,199284,189840
17239,1605,79,199334,189897
17259,1608,76,199364,189914
17279,1604,76,199396,189922
17299,1605,76,199367,189910
17319,1600,82,199284,189858
17339,1611,72,199187,189835
17359,1615,81,199107,189796
17379,1617,74,199071,189782
17399,1612,79,199055,189770
17419,1611,73,199008,189752
17439,1614,75,198981,189733
17459,1623,81,198947,189714
17479,1615,73,198925,189703
17499,1632,79,198917,189689
17519,1627,77,199037,189771
17543,1672,115,199157,189849
17563,1631,109,199231,189866
17583,1631,111,199248,189905
17603,1624,120,199226,189900
17623,1624,98,199232,189925
17643,1633,103,201331,189901
17663,1628,119,199188,189901
17683,1634,106,199152,189866
17703,1628,102,199113,189855
17723,1642,113,199087,189828
17743,1634,111,199102,189835
17763,1634,100,199121,189829
17783,1636,104,199129,189840
17803,1636,111,199160,189829
17823,1637,103,199131,189819
17843,1647,111,199144,189836
17863,1638,103,199133,189816
17883,1649,105,199156,189866
17903,1659,109,199191,189825
17923,1656,107,199214,189832
17946,1659,106,199229,189838
17966,1643,115,199256,189847
17986,1644,123,199236,189829
18006,1659,119,199278,189842
18026,1651,111,199277,189868
18046,1653,111,199353,189885
18066,1656,120,199392,189897
18086,1648,120,199362,189906
18106,1663,111,199400,189904
18126,1656,112,199406,189918
18146,1660,111,199382,189892
18166,1660,120,199303,189861
18186,1684,119,199214,189816
18206,1673,106,201067,189787
18226,1679,111,199090,189759
18246,1683,107,199020,189760
18266,1683,115,199023,189746
18286,1683,107,198986,189697
18306,1678,112,198956,189697
18326,1687,114,198928,189681
18346,1672,102,198935,189672
18370,1695,119,198981,189682
18390,1696,119,198972,189693
18410,1705,107,199028,189724
18430,1707,104,199030,189725
18450,1695,117,199080,189742
18470,1696,112,199127,189752
18490,1699,106,199070,189728
18510,1703,108,199072,189720
18530,1707,119,199023,189708
18550,1711,113,199033,189708
18570,1700,119,199013,189682
18590,1715,109,198994,189677
18610,1713,108,199014,189671
18630,1717,104,199026,189686
18650,1723,119,199058,189686
18670,1719,106,199069,189691
18690,1714,104,199059,189689
18710,1716,113,199105,189693
18730,1720,104,199136,189707
18750,1727,115,199130,189720
18773,1739,95,199162,189701
18793,1737,96,199155,189696
18813,1728,95,199136,189710
18833,1735,97,199172,189680
